Title,Company,Date Posted,Experience,Skills/Desc,Link
"Intern, Data Learning at Evidence Action",View Jobs at Evidence Action,"Intern, Data Learning at Evidence ActionView Jobs in NGO / Non-Profit Associations/View Jobs at Evidence Action:Dec 15, 2025Deadline:Not specifiedSaveEmail",developing reports and presentations from data analysis outputs/ transforming data into insight,N/A,https://www.myjobmag.co.ke/job/intern-data-learning-evidence-action-2
CSR – Content Moderation & Data Annotation (Spanish) at Ajira Digital Program,View Jobs at Ajira Digital Program,"CSR – Content Moderation & Data Annotation (Spanish) at Ajira Digital ProgramView Jobs in ICT / Telecommunication/View Jobs at Ajira Digital Program:Dec 15, 2025Deadline:Not specifiedSaveEmail",,N/A,https://www.myjobmag.co.ke/job/csr-content-moderation-data-annotation-spanish-ajira-digital-program
Senior Data Scientist at Pezesha,View Jobs at Pezesha,"Senior Data Scientist at PezeshaView Jobs in ICT / Telecommunication/View Jobs at Pezesha:Dec 15, 2025Deadline:Not specifiedSaveEmail","with machine learning frameworks (TensorFlow, Scikit-learn, XGBoost, etc.).",N/A,https://www.myjobmag.co.ke/job/senior-data-scientist-pezesha
REACH Data Officer at ACTED,View Jobs at ACTED,"REACH Data Officer at ACTEDView Jobs in NGO / Non-Profit Associations/View Jobs at ACTED:Dec 13, 2025Deadline:Dec 24, 2025SaveEmail",with cleaning and analyzing large datasets required.,N/A,https://www.myjobmag.co.ke/job/reach-data-officer-acted
Data Officer at ACTED,View Jobs at ACTED,"Data Officer at ACTEDView Jobs in NGO / Non-Profit Associations/View Jobs at ACTED:Dec 13, 2025Deadline:Dec 24, 2025SaveEmail",in geographical region Past experience in the [relevant] region is desirable;,N/A,https://www.myjobmag.co.ke/job/data-officer-acted
Data Specialist at UN-Habitat,View Jobs at UN-Habitat,"Data Specialist at UN-HabitatView Jobs in NGO / Non-Profit Associations/View Jobs at UN-Habitat:Dec 12, 2025Deadline:Dec 22, 2025SaveEmail",working with survey experts and coordinating mixed-method data collection processes.is required  in cross-border or decentralized governance projects is highly desirable,N/A,https://www.myjobmag.co.ke/job/data-specialist-un-habitat-1
"Manager, Data Governance, Data Analytics and AI Department at Diamond Trust Bank (DTB)",View Jobs at Diamond Trust Bank (DTB),"Manager, Data Governance, Data Analytics and AI Department at Diamond Trust Bank (DTB)View Jobs in Banking / Financial Services/View Jobs at Diamond Trust Bank (DTB):Dec 12, 2025Deadline:Dec 22, 2025SaveEmail",within the banking or financial services sector is mandatory.,N/A,https://www.myjobmag.co.ke/job/manager-data-governance-data-analytics-and-ai-department-diamond-trust-bank-dtb
TVET - Data Communication & Computer Networking at Seme Technical and Vocational College,View Jobs at Seme Technical and Vocational College,"TVET - Data Communication & Computer Networking at Seme Technical and Vocational CollegeView Jobs in Education / Teaching/View Jobs at Seme Technical and Vocational College:Dec 12, 2025Deadline:Dec 30, 2025SaveEmail",,N/A,https://www.myjobmag.co.ke/job/tvet-data-communication-computer-networking-seme-technical-and-vocational-college
"National Consultant- Water Resource and Water Governance Data Collection, WASH Hub at UNICEF",View Jobs at UNICEF,"National Consultant- Water Resource and Water Governance Data Collection, WASH Hub at UNICEFView Jobs in NGO / Non-Profit Associations/View Jobs at UNICEF:Dec 12, 2025Deadline:Dec 23, 2025SaveEmail",of supporting county or national actors in the Kenyan context is considered an asset,N/A,https://www.myjobmag.co.ke/job/national-consultant-water-resource-and-water-governance-data-collection-wash-hub-unicef
Data Management Specialist at Absa Bank Limited,View Jobs at Absa Bank Limited,"Data Management Specialist at Absa Bank LimitedView Jobs in Banking / Financial Services/View Jobs at Absa Bank Limited:Dec 11, 2025Deadline:Not specifiedSaveEmail",with data management tools (specifically Metadata and DQ).,N/A,https://www.myjobmag.co.ke/job/data-management-specialist-absa-bank-limited
